Gen;Avg Gen Fitness;Fit of Gen best;Fit of Total Best;total best contact cnt;total best overlaps cnt;crossover rate;mutation rate
194;9,323333;10,000000;10,000000;10;0;0,000000;0,000000
195;9,377500;10,000000;10,000000;10;0;0,000000;0,000000
196;9,462667;10,000000;10,000000;10;0;0,000000;0,000000
197;9,437889;10,000000;10,000000;10;0;0,000000;0,000000
198;9,535000;10,000000;10,000000;10;0;0,000000;0,000000
199;9,430000;10,000000;10,000000;10;0;0,000000;0,000000
200;9,515000;10,000000;10,000000;10;0;0,000000;0,000000
201;9,536319;10,000000;10,000000;10;0;0,000000;0,000000
202;9,467232;10,000000;10,000000;10;0;0,000000;0,000000
203;9,633000;10,000000;10,000000;10;0;0,000000;0,000000
204;9,712222;10,000000;10,000000;10;0;0,000000;0,000000
205;9,646389;10,000000;10,000000;10;0;0,000000;0,000000
206;9,751667;10,000000;10,000000;10;0;0,000000;0,000000
207;9,667778;10,000000;10,000000;10;0;0,000000;0,000000
208;9,665278;10,000000;10,000000;10;0;0,000000;0,000000
209;9,655833;10,000000;10,000000;10;0;0,000000;0,000000
210;9,756667;10,000000;10,000000;10;0;0,000000;0,000000
211;9,693000;10,000000;10,000000;10;0;0,000000;0,000000
212;9,624500;10,000000;10,000000;10;0;0,000000;0,000000
213;9,683750;10,000000;10,000000;10;0;0,000000;0,000000
214;9,545000;10,000000;10,000000;10;0;0,000000;0,000000
215;9,654167;10,000000;10,000000;10;0;0,000000;0,000000
216;9,672917;10,000000;10,000000;10;0;0,000000;0,000000
217;9,596278;10,000000;10,000000;10;0;0,000000;0,000000
218;9,603056;10,000000;10,000000;10;0;0,000000;0,000000
219;9,542827;10,000000;10,000000;10;0;0,000000;0,000000
220;9,760500;10,000000;10,000000;10;0;0,000000;0,000000
221;9,652167;10,000000;10,000000;10;0;0,000000;0,000000
222;9,866667;10,000000;10,000000;10;0;0,000000;0,000000
223;9,774000;10,000000;10,000000;10;0;0,000000;0,000000
224;9,776000;10,000000;10,000000;10;0;0,000000;0,000000
225;9,743000;10,000000;10,000000;10;0;0,000000;0,000000
226;9,805000;10,000000;10,000000;10;0;0,000000;0,000000
227;9,723208;10,000000;10,000000;10;0;0,000000;0,000000
228;9,756333;10,000000;10,000000;10;0;0,000000;0,000000
229;9,600857;10,000000;10,000000;10;0;0,000000;0,000000
230;9,728833;10,000000;10,000000;10;0;0,000000;0,000000
231;9,731667;10,000000;10,000000;10;0;0,000000;0,000000
232;9,600000;10,000000;10,000000;10;0;0,000000;0,000000
233;9,715000;10,000000;10,000000;10;0;0,000000;0,000000
234;9,715417;10,000000;10,000000;10;0;0,000000;0,000000
235;9,855385;10,000000;10,000000;10;0;0,000000;0,000000
236;9,727000;10,000000;10,000000;10;0;0,000000;0,000000
