Gen;Avg Gen Fitness;Fit of Gen best;Fit of Total Best;total best contact cnt;total best overlaps cnt
315;1,400000;1,400000;2,333333;7;2
316;1,400000;1,400000;2,333333;7;2
317;1,400000;1,400000;2,333333;7;2
318;1,400000;1,400000;2,333333;7;2
319;1,400000;1,400000;2,333333;7;2
320;1,400000;1,400000;2,333333;7;2
321;1,400000;1,400000;2,333333;7;2
322;1,400000;1,400000;2,333333;7;2
323;1,400000;1,400000;2,333333;7;2
324;1,400000;1,400000;2,333333;7;2
325;1,400000;1,400000;2,333333;7;2
326;1,400000;1,400000;2,333333;7;2
327;1,400000;1,400000;2,333333;7;2
328;1,400000;1,400000;2,333333;7;2
329;1,400000;1,400000;2,333333;7;2
330;1,400000;1,400000;2,333333;7;2
331;1,400000;1,400000;2,333333;7;2
332;1,400000;1,400000;2,333333;7;2
333;1,400000;1,400000;2,333333;7;2
334;1,400000;1,400000;2,333333;7;2
335;1,400000;1,400000;2,333333;7;2
336;1,400000;1,400000;2,333333;7;2
337;1,400000;1,400000;2,333333;7;2
338;1,400000;1,400000;2,333333;7;2
339;1,400000;1,400000;2,333333;7;2
340;1,400000;1,400000;2,333333;7;2
341;1,400000;1,400000;2,333333;7;2
342;1,400000;1,400000;2,333333;7;2
343;1,400000;1,400000;2,333333;7;2
344;1,400000;1,400000;2,333333;7;2
345;1,400000;1,400000;2,333333;7;2
346;1,400000;1,400000;2,333333;7;2
347;1,400000;1,400000;2,333333;7;2
348;1,400000;1,400000;2,333333;7;2
349;1,400000;1,400000;2,333333;7;2
350;1,400000;1,400000;2,333333;7;2
351;1,400000;1,400000;2,333333;7;2
352;1,400000;1,400000;2,333333;7;2
353;1,400000;1,400000;2,333333;7;2
354;1,400000;1,400000;2,333333;7;2
355;1,400000;1,400000;2,333333;7;2
356;1,400000;1,400000;2,333333;7;2
357;1,400000;1,400000;2,333333;7;2
358;1,400000;1,400000;2,333333;7;2
359;1,400000;1,400000;2,333333;7;2
360;1,400000;1,400000;2,333333;7;2
361;1,400000;1,400000;2,333333;7;2
362;1,400000;1,400000;2,333333;7;2
363;1,400000;1,400000;2,333333;7;2
364;1,400000;1,400000;2,333333;7;2
365;1,400000;1,400000;2,333333;7;2
366;1,400000;1,400000;2,333333;7;2
367;1,400000;1,400000;2,333333;7;2
368;1,400000;1,400000;2,333333;7;2
369;1,400000;1,400000;2,333333;7;2
370;1,400000;1,400000;2,333333;7;2
371;1,400000;1,400000;2,333333;7;2
372;1,400000;1,400000;2,333333;7;2
373;1,400000;1,400000;2,333333;7;2
374;1,400000;1,400000;2,333333;7;2
375;1,400000;1,400000;2,333333;7;2
376;1,400000;1,400000;2,333333;7;2
377;1,400000;1,400000;2,333333;7;2
378;1,400000;1,400000;2,333333;7;2
379;1,400000;1,400000;2,333333;7;2
380;1,400000;1,400000;2,333333;7;2
381;1,400000;1,400000;2,333333;7;2
382;1,400000;1,400000;2,333333;7;2
383;1,400000;1,400000;2,333333;7;2
384;1,400000;1,400000;2,333333;7;2
385;1,400000;1,400000;2,333333;7;2
386;1,400000;1,400000;2,333333;7;2
387;1,400000;1,400000;2,333333;7;2
388;1,400000;1,400000;2,333333;7;2
389;1,400000;1,400000;2,333333;7;2
390;1,400000;1,400000;2,333333;7;2
391;1,400000;1,400000;2,333333;7;2
392;1,400000;1,400000;2,333333;7;2
393;1,400000;1,400000;2,333333;7;2
394;1,400000;1,400000;2,333333;7;2
395;1,400000;1,400000;2,333333;7;2
396;1,400000;1,400000;2,333333;7;2
397;1,400000;1,400000;2,333333;7;2
398;1,400000;1,400000;2,333333;7;2
399;1,400000;1,400000;2,333333;7;2
400;1,400000;1,400000;2,333333;7;2
401;1,400000;1,400000;2,333333;7;2
402;1,400000;1,400000;2,333333;7;2
403;1,400000;1,400000;2,333333;7;2
404;1,400000;1,400000;2,333333;7;2
405;1,400000;1,400000;2,333333;7;2
406;1,400000;1,400000;2,333333;7;2
407;1,400000;1,400000;2,333333;7;2
408;1,400000;1,400000;2,333333;7;2
409;1,400000;1,400000;2,333333;7;2
410;1,400000;1,400000;2,333333;7;2
411;1,400000;1,400000;2,333333;7;2
412;1,400000;1,400000;2,333333;7;2
413;1,400000;1,400000;2,333333;7;2
414;1,400000;1,400000;2,333333;7;2
415;1,400000;1,400000;2,333333;7;2
416;1,400000;1,400000;2,333333;7;2
417;1,400000;1,400000;2,333333;7;2
418;1,400000;1,400000;2,333333;7;2
419;1,400000;1,400000;2,333333;7;2
420;1,400000;1,400000;2,333333;7;2
421;1,400000;1,400000;2,333333;7;2
422;1,400000;1,400000;2,333333;7;2
423;1,400000;1,400000;2,333333;7;2
424;1,400000;1,400000;2,333333;7;2
425;1,400000;1,400000;2,333333;7;2
426;1,400000;1,400000;2,333333;7;2
427;1,400000;1,400000;2,333333;7;2
428;1,400000;1,400000;2,333333;7;2
429;1,400000;1,400000;2,333333;7;2
430;1,400000;1,400000;2,333333;7;2
431;1,400000;1,400000;2,333333;7;2
432;1,400000;1,400000;2,333333;7;2
433;1,400000;1,400000;2,333333;7;2
434;1,400000;1,400000;2,333333;7;2
435;1,400000;1,400000;2,333333;7;2
436;1,400000;1,400000;2,333333;7;2
437;1,400000;1,400000;2,333333;7;2
438;1,400000;1,400000;2,333333;7;2
439;1,400000;1,400000;2,333333;7;2
440;1,400000;1,400000;2,333333;7;2
441;1,400000;1,400000;2,333333;7;2
442;1,400000;1,400000;2,333333;7;2
443;1,400000;1,400000;2,333333;7;2
444;1,400000;1,400000;2,333333;7;2
445;1,400000;1,400000;2,333333;7;2
446;1,400000;1,400000;2,333333;7;2
447;1,400000;1,400000;2,333333;7;2
448;1,400000;1,400000;2,333333;7;2
449;1,400000;1,400000;2,333333;7;2
450;1,400000;1,400000;2,333333;7;2
451;1,400000;1,400000;2,333333;7;2
452;1,400000;1,400000;2,333333;7;2
453;1,400000;1,400000;2,333333;7;2
454;1,400000;1,400000;2,333333;7;2
455;1,400000;1,400000;2,333333;7;2
456;1,400000;1,400000;2,333333;7;2
457;1,400000;1,400000;2,333333;7;2
458;1,400000;1,400000;2,333333;7;2
459;1,400000;1,400000;2,333333;7;2
460;1,400000;1,400000;2,333333;7;2
461;1,400000;1,400000;2,333333;7;2
462;1,400000;1,400000;2,333333;7;2
463;1,400000;1,400000;2,333333;7;2
464;1,400000;1,400000;2,333333;7;2
465;1,400000;1,400000;2,333333;7;2
466;1,400000;1,400000;2,333333;7;2
467;1,400000;1,400000;2,333333;7;2
468;1,400000;1,400000;2,333333;7;2
469;1,400000;1,400000;2,333333;7;2
470;1,400000;1,400000;2,333333;7;2
471;1,400000;1,400000;2,333333;7;2
472;1,400000;1,400000;2,333333;7;2
473;1,400000;1,400000;2,333333;7;2
474;1,400000;1,400000;2,333333;7;2
475;1,400000;1,400000;2,333333;7;2
476;1,400000;1,400000;2,333333;7;2
477;1,400000;1,400000;2,333333;7;2
478;1,400000;1,400000;2,333333;7;2
479;1,400000;1,400000;2,333333;7;2
480;1,400000;1,400000;2,333333;7;2
481;1,400000;1,400000;2,333333;7;2
482;1,400000;1,400000;2,333333;7;2
483;1,400000;1,400000;2,333333;7;2
484;1,400000;1,400000;2,333333;7;2
485;1,400000;1,400000;2,333333;7;2
486;1,400000;1,400000;2,333333;7;2
487;1,400000;1,400000;2,333333;7;2
488;1,400000;1,400000;2,333333;7;2
489;1,400000;1,400000;2,333333;7;2
490;1,400000;1,400000;2,333333;7;2
491;1,400000;1,400000;2,333333;7;2
492;1,400000;1,400000;2,333333;7;2
493;1,400000;1,400000;2,333333;7;2
494;1,400000;1,400000;2,333333;7;2
495;1,400000;1,400000;2,333333;7;2
496;1,400000;1,400000;2,333333;7;2
497;1,400000;1,400000;2,333333;7;2
498;1,400000;1,400000;2,333333;7;2
499;1,400000;1,400000;2,333333;7;2
500;1,400000;1,400000;2,333333;7;2
